Manufacturer,Model,Engine size,Fuel type,Year of manufacture, Mileage , Price 
Toyota,RAV4,2.2,Hybrid,2015," 35,448 "," 43,415 "
Toyota,RAV4,2,Hybrid,1995," 142,544 "," 5,129 "
BMW,M5,4,Petrol,2012," 46,755 "," 60,859 "
VW,Polo,1.6,Petrol,2001," 97,700 "," 4,668 "
BMW,M5,5,Petrol,2016," 42,059 "," 91,415 "
VW,Polo,1.6,Petrol,2012," 48,576 "," 13,537 "
VW,Polo,1.4,Petrol,2006," 76,691 "," 7,067 "
Toyota,RAV4,1.8,Hybrid,2017," 15,473 "," 50,215 "
Ford,Focus,2,Petrol,2000," 110,549 "," 6,273 "
Ford,Fiesta,1,Petrol,1992," 183,342 ", 994 
Ford,Focus,1.4,Petrol,2012," 94,259 "," 13,169 "
Ford,Mondeo,1.4,Diesel,2018," 42,017 "," 28,904 "
VW,Golf,1.2,Petrol,1990," 159,547 "," 1,420 "
VW,Polo,1.4,Petrol,2000," 73,749 "," 4,833 "
Toyota,Yaris,1,Hybrid,2009," 63,292 "," 10,802 "
VW,Passat,1.4,Diesel,2013," 71,904 "," 18,080 "
Ford,Mondeo,1.4,Diesel,2006," 159,969 "," 5,504 "
Toyota,Yaris,1.2,Petrol,2013," 75,588 "," 11,861 "
Ford,Mondeo,1.4,Diesel,2018," 18,334 "," 33,119 "
VW,Polo,1.2,Petrol,1995," 175,506 "," 1,460 "
Toyota,Prius,1.8,Hybrid,1985," 235,671 ", 949 
VW,Polo,1,Petrol,1996," 144,412 "," 1,846 "
BMW,M5,4.4,Petrol,2008," 79,613 "," 39,453 "
BMW,M5,4.4,Petrol,2004," 108,396 "," 24,571 "
Porsche,Cayenne,3,Petrol,2013," 68,093 "," 39,031 "
Ford,Mondeo,1.6,Hybrid,2019," 30,152 "," 40,482 "
Porsche,911,3,Petrol,2015," 44,761 "," 77,091 "
Toyota,Yaris,1,Petrol,2012," 52,525 "," 11,780 "
Toyota,Yaris,1,Petrol,2005," 145,747 "," 3,754 "
Ford,Mondeo,1.8,Diesel,2016," 16,626 "," 33,172 "
Ford,Mondeo,1.4,Diesel,1998," 155,019 "," 3,364 "
Toyota,Prius,1.4,Hybrid,1996," 188,308 "," 2,658 "
Ford,Focus,2,Petrol,2001," 72,923 "," 8,773 "
VW,Golf,1.4,Diesel,2007," 104,718 "," 7,710 "
VW,Polo,2,Petrol,1992," 258,967 ", 731 
VW,Golf,1.2,Hybrid,2000," 168,963 "," 3,069 "
Ford,Focus,2,Diesel,1993," 90,439 "," 4,786 "
Toyota,Prius,1.4,Hybrid,1991," 213,652 "," 1,523 "
Toyota,RAV4,2.2,Hybrid,2012," 100,268 "," 23,140 "
VW,Golf,2,Petrol,2019," 26,479 "," 32,650 "
VW,Passat,1.4,Diesel,2009," 109,384 "," 10,605 "
Ford,Focus,2,Petrol,2014," 39,083 "," 25,884 "
VW,Passat,2,Petrol,2002," 73,945 "," 9,749 "
Ford,Fiesta,1.4,Petrol,2008," 114,007 "," 6,011 "
Toyota,Prius,1.8,Hybrid,2003," 125,903 "," 8,052 "
VW,Polo,1.4,Petrol,1998," 126,188 "," 2,884 "
Porsche,911,3,Petrol,1990," 178,957 "," 5,344 "
Ford,Mondeo,1.6,Diesel,1996," 118,258 "," 4,217 "
Toyota,Yaris,1.4,Hybrid,2004," 100,476 "," 7,076 "
Ford,Focus,1,Petrol,1985," 288,486 ", 347 
VW,Passat,2,Diesel,1997," 50,121 "," 8,564 "
Porsche,911,2.6,Petrol,2003," 130,068 "," 17,702 "
VW,Golf,1.8,Petrol,1992," 135,772 "," 2,412 "
VW,Golf,1.8,Petrol,2010," 70,562 "," 12,942 "
Ford,Focus,2,Diesel,2003," 139,651 "," 6,417 "
Ford,Focus,1.6,Petrol,2004," 106,068 "," 7,575 "
Porsche,718 Cayman,2,Petrol,2019," 18,978 "," 54,090 "
VW,Polo,1.6,Diesel,2000," 85,142 "," 5,015 "
Ford,Mondeo,1.6,Diesel,2012," 64,490 "," 17,978 "
Toyota,Yaris,1,Petrol,1993," 121,417 "," 2,045 "
Ford,Focus,1,Petrol,2018," 19,640 "," 26,712 "
Toyota,RAV4,2.2,Hybrid,2009," 99,740 "," 19,019 "
Toyota,Yaris,1.4,Petrol,2004," 159,279 "," 3,718 "
Ford,Focus,1.4,Petrol,1996," 86,718 "," 4,782 "
Porsche,718 Cayman,4,Petrol,1993," 150,186 "," 5,438 "
BMW,M5,4.4,Petrol,2019," 20,736 "," 118,474 "
VW,Polo,1.4,Petrol,1986," 70,039 "," 1,948 "
BMW,X3,3,Diesel,2017," 30,285 "," 49,606 "
Toyota,Yaris,1.2,Petrol,2016," 38,795 "," 18,326 "
Toyota,RAV4,2.4,Hybrid,1995," 203,197 "," 3,359 "
Toyota,RAV4,2.4,Petrol,2011," 80,839 "," 21,637 "
VW,Golf,1.4,Petrol,2002," 174,535 "," 3,010 "
VW,Passat,1.6,Petrol,1993," 131,899 "," 3,125 "
Ford,Focus,1,Petrol,2021," 14,063 "," 33,627 "
BMW,Z4,2.4,Petrol,1996," 149,048 "," 4,294 "
VW,Polo,1,Petrol,1990," 145,249 "," 1,229 "
Toyota,Prius,1,Hybrid,2007," 61,357 "," 12,446 "
Toyota,Yaris,1.2,Hybrid,1997," 13,000 "," 7,167 "
Ford,Fiesta,1.4,Petrol,1986," 263,206 ", 384 
Toyota,Yaris,1.4,Petrol,2010," 52,847 "," 12,174 "
VW,Passat,1.6,Diesel,2009," 100,782 "," 12,083 "
VW,Polo,1,Petrol,1999," 193,458 "," 1,491 "
Toyota,Yaris,1.2,Petrol,1997," 174,912 "," 1,892 "
Ford,Mondeo,2,Hybrid,1998," 169,431 "," 4,074 "
Toyota,Prius,1,Hybrid,1993," 269,373 ", 882 
BMW,X3,2,Diesel,2009," 129,764 "," 11,999 "
Toyota,Prius,1,Hybrid,1998," 104,481 "," 5,060 "
Ford,Mondeo,2,Diesel,2008," 105,468 "," 11,556 "
BMW,M5,4,Petrol,2000," 153,596 "," 12,574 "
Ford,Fiesta,1.4,Petrol,1993," 84,644 "," 2,739 "
VW,Golf,1.6,Petrol,2001," 205,054 "," 2,309 "
VW,Polo,1,Petrol,1993," 159,497 "," 1,335 "
Ford,Focus,1.8,Petrol,2002," 166,994 "," 4,332 "
VW,Polo,1.4,Petrol,1997," 143,465 "," 2,352 "
Ford,Mondeo,1.6,Diesel,2015," 59,927 "," 22,621 "
Porsche,718 Cayman,4,Petrol,2005," 132,662 "," 13,935 "
Ford,Fiesta,1.4,Petrol,2014," 54,142 "," 13,615 "
Ford,Fiesta,1,Petrol,2001," 92,561 "," 3,732 "
Ford,Mondeo,1.6,Petrol,2010," 80,723 "," 13,432 "
Toyota,Yaris,1.2,Petrol,1985," 73,419 "," 1,861 "
Ford,Focus,1.6,Petrol,1995," 84,529 "," 4,856 "
Ford,Focus,1.6,Diesel,2022," 5,750 "," 49,870 "
Toyota,RAV4,2.4,Hybrid,2008," 144,529 "," 13,154 "
Toyota,RAV4,1.8,Hybrid,2014," 45,184 "," 34,655 "
VW,Polo,1,Petrol,1992," 214,329 ", 777 
Toyota,Prius,1.8,Hybrid,1997," 188,455 "," 3,218 "
VW,Polo,1.4,Petrol,1994," 182,166 "," 1,394 "
Toyota,RAV4,2.2,Hybrid,2018," 39,082 "," 51,898 "
VW,Passat,1.8,Diesel,2001," 171,268 "," 4,296 "
BMW,M5,4.4,Petrol,2011," 78,714 "," 48,487 "
VW,Passat,2,Diesel,2011," 73,733 "," 18,680 "
Ford,Mondeo,1.8,Diesel,1997," 242,305 "," 1,659 "
Ford,Mondeo,1.8,Diesel,2001," 166,344 "," 4,239 "
Toyota,Yaris,1.2,Hybrid,1990," 97,463 "," 2,633 "
Ford,Mondeo,1.4,Diesel,2013," 50,433 "," 19,668 "
Ford,Mondeo,1.4,Diesel,2018," 24,229 "," 32,057 "
BMW,Z4,2.2,Petrol,2009," 74,444 "," 17,133 "
Toyota,RAV4,2.2,Hybrid,2016," 45,462 "," 43,702 "
Ford,Mondeo,1.4,Diesel,2006," 89,524 "," 9,500 "
VW,Passat,1.6,Petrol,1991," 16,000 "," 5,963 "
Ford,Mondeo,2,Diesel,2022," 1,487 "," 56,459 "
VW,Golf,1.4,Petrol,2011," 87,947 "," 10,825 "
Ford,Mondeo,1.6,Diesel,2016," 40,113 "," 27,354 "
VW,Golf,1.4,Diesel,2000," 76,717 "," 5,902 "
VW,Passat,1.4,Petrol,1991," 269,218 ", 769 
Toyota,Prius,1,Hybrid,2015," 48,540 "," 23,011 "
Toyota,Prius,1.4,Hybrid,2013," 88,811 "," 18,232 "
Toyota,Yaris,1,Petrol,2002," 84,781 "," 4,880 "
Toyota,RAV4,2.2,Hybrid,1989," 272,683 "," 1,142 "
Ford,Mondeo,1.6,Diesel,2018," 46,461 "," 30,075 "
Toyota,RAV4,1.8,Hybrid,2014," 53,321 "," 32,948 "
Ford,Mondeo,1.6,Petrol,1994," 264,924 ", 989 
Porsche,Cayenne,4,Petrol,2000," 145,140 "," 10,699 "
Toyota,Prius,1.8,Hybrid,2007," 132,296 "," 9,998 "
VW,Golf,1.2,Diesel,1997," 144,909 "," 2,682 "
Ford,Fiesta,1,Diesel,1986," 138,224 "," 1,019 "
Porsche,718 Cayman,4,Petrol,1988," 219,671 "," 2,140 "
VW,Passat,1.4,Diesel,1989," 371,762 ", 264 
VW,Passat,1.4,Diesel,1990," 74,327 "," 3,838 "
VW,Golf,1.6,Petrol,1989," 205,047 "," 1,037 "
Ford,Mondeo,1.6,Diesel,2022," 7,454 "," 48,982 "
VW,Golf,2,Diesel,2016," 11,234 "," 30,509 "
VW,Polo,1.6,Petrol,2010," 97,296 "," 8,531 "
VW,Golf,2,Petrol,2017," 44,227 "," 25,745 "
VW,Passat,1.4,Diesel,1985," 267,541 ", 549 
BMW,Z4,2.2,Petrol,1997," 250,431 "," 1,806 "
Ford,Fiesta,1.2,Petrol,1989," 149,015 "," 1,190 "
Toyota,RAV4,2,Hybrid,2004," 138,340 "," 9,666 "
Toyota,Yaris,1.2,Hybrid,1987," 133,425 "," 1,640 "
Toyota,Prius,1,Hybrid,2001," 143,411 "," 4,571 "
VW,Polo,1.4,Petrol,2016," 40,742 "," 17,342 "
BMW,M5,5,Petrol,1999," 82,222 "," 22,668 "
VW,Golf,1.4,Petrol,2012," 49,674 "," 14,925 "
VW,Polo,1.6,Petrol,2012," 66,103 "," 12,102 "
VW,Golf,1.6,Petrol,1999," 91,360 "," 5,075 "
VW,Polo,2,Petrol,1990," 215,167 ", 954 
BMW,M5,4,Petrol,2006," 30,902 "," 44,836 "
Porsche,911,3,Petrol,2014," 65,307 "," 63,310 "
Toyota,Prius,1.8,Hybrid,2018," 19,017 "," 44,797 "
Toyota,Yaris,1.4,Hybrid,2007," 143,360 "," 6,209 "
BMW,Z4,2.4,Petrol,2021," 4,915 "," 60,317 "
BMW,Z4,3,Petrol,1993," 260,043 "," 1,477 "
Ford,Focus,1.4,Petrol,2015," 36,919 "," 23,449 "
VW,Polo,1.4,Petrol,2001," 105,306 "," 4,129 "
Toyota,Prius,1.8,Hybrid,1992," 231,649 "," 1,569 "
Ford,Focus,1.6,Petrol,1994," 74,472 "," 4,869 "
Toyota,Yaris,1.2,Petrol,2012," 102,514 "," 9,168 "
VW,Polo,1,Petrol,1997," 134,735 "," 2,132 "
Ford,Focus,1.6,Petrol,1992," 175,881 "," 1,944 "
Porsche,Cayenne,3,Petrol,2006," 126,718 "," 16,004 "
Toyota,Prius,1.8,Hybrid,2008," 86,326 "," 15,075 "
Ford,Fiesta,1.4,Petrol,1992," 245,794 ", 673 
VW,Passat,1.6,Diesel,1988," 210,194 "," 1,213 "
BMW,M5,4,Petrol,1984," 89,953 "," 7,064 "
Ford,Fiesta,1,Petrol,2006," 113,610 "," 4,460 "
VW,Passat,2,Diesel,2003," 106,761 "," 8,665 "
Ford,Fiesta,1.4,Petrol,1992," 280,925 ", 485 
Ford,Fiesta,1.2,Petrol,2018," 29,268 "," 19,119 "
Ford,Mondeo,1.8,Diesel,2014," 21,377 "," 28,286 "
